org_id,priv_funds,pub_funds
2,2811762,4355710
5,3099382,4014626
8,4397988,4593368
11,9158224,8528019
14,7943100,2410120
17,9069050,6824317
20,8841900,3277998
23,3070547,9559837
26,1180963,6511979
29,5237600,9521772
32,614573,7062277
35,9833087,7161446
38,2868986,7787041
41,9581833,7293063
44,2402547,6822651
47,7763463,8473820
50,5907095,5769691
53,4566378,6274321
56,1220404,8600562
59,1678954,2330713
62,5096113,5602591
65,3947632,2547991
68,1359184,4952995
71,3882378,313330
74,8933021,23747
77,1522338,7571286
80,3131343,5335326
83,8037976,172476
86,2083312,9203921
89,1965421,4755230
