proj_id,res_id
1,748
2,166
3,660
4,64
5,165
6,764
7,751
8,628
9,716
10,793
11,750
12,118
13,999
14,415
15,263
16,831
17,835
18,238
19,828
20,266
21,918
22,823
23,601
24,688
25,351
26,197
27,545
28,815
29,988
30,962
31,428
32,366
33,254
34,178
35,974
36,884
37,334
38,533
39,293
40,367
41,797
42,719
43,154
44,222
45,17
46,221
47,585
48,262
49,893
50,139
51,331
52,228
53,933
54,340
55,292
56,697
57,781
58,904
59,975
60,874
61,971
62,536
63,346
64,780
65,277
66,264
67,16
68,805
69,723
70,247
71,227
72,435
73,656
74,86
75,743
76,959
77,133
78,271
79,806
80,286
81,879
82,948
83,600
84,394
85,820
86,232
87,865
88,201
89,469
90,280
91,876
92,396
93,844
94,255
95,38
96,808
97,514
98,535
99,295
100,519
101,305
102,662
103,130
104,454
105,928
106,384
107,672
108,72
109,906
110,646
111,546
112,145
113,299
114,136
115,127
116,281
117,914
118,848
119,447
120,710
121,1
122,614
123,50
124,52
125,284
126,300
127,555
128,497
129,580
130,494
131,809
132,594
133,288
134,278
135,128
136,95
137,167
138,769
139,954
140,517
141,426
142,558
143,180
144,125
145,82
146,161
147,273
148,599
149,816
150,869
151,242
152,87
153,376
154,640
155,114
156,171
157,901
158,478
159,726
160,522
161,768
162,144
163,104
164,539
165,430
166,368
167,895
168,493
169,97
170,562
171,737
172,472
173,45
174,6
175,146
176,235
177,872
178,900
179,576
180,856
181,424
182,155
183,913
184,220
185,432
186,907
187,732
188,807
189,194
190,316
191,122
192,634
193,471
194,223
195,956
196,10
197,543
198,937
199,338
200,363
201,350
202,635
203,371
204,924
205,720
206,724
207,198
208,804
209,408
210,718
211,94
212,244
213,591
214,112
215,74
216,855
217,637
218,59
219,658
220,801
221,864
222,96
223,486
224,12
225,811
226,916
227,444
228,7
229,727
230,889
231,610
232,328
233,859
234,301
235,233
236,927
237,753
238,589
239,110
240,617
241,892
242,455
243,648
244,940
245,290
246,812
247,949
248,192
249,846
250,549
251,752
252,28
253,177
254,153
255,29
256,184
257,626
258,784
259,663
260,11
261,565
262,674
263,873
264,979
265,489
266,571
267,225
268,134
269,181
270,402
271,882
272,380
273,200
274,788
275,427
276,854
277,511
278,643
279,867
280,595
281,54
282,875
283,507
284,272
285,552
286,143
287,702
288,91
289,496
290,3
291,261
292,800
293,401
294,61
295,344
296,491
297,229
298,172
299,297
300,80
301,44
302,92
303,890
304,440
305,570
306,712
307,849
308,375
309,960
310,219
311,679
312,433
313,598
314,502
315,659
316,703
317,49
318,431
319,994
320,341
321,51
322,932
323,853
324,39
325,615
326,106
327,556
328,986
329,667
330,818
331,586
332,158
333,632
334,973
335,967
336,442
337,708
338,443
339,885
340,353
341,618
342,291
343,504
344,505
345,347
346,193
347,256
348,612
349,950
350,786
351,996
352,276
353,468
354,404
355,466
356,577
357,980
358,942
359,747
360,325
361,62
362,636
363,482
364,218
365,387
366,187
367,307
368,326
369,836
370,174
371,354
372,71
373,93
374,711
375,661
376,669
377,90
378,629
379,243
380,833
381,554
382,744
383,894
384,360
385,477
386,464
387,149
388,939
389,89
390,58
391,864
392,693
393,179
394,866
395,952
396,469
397,690
398,34
399,937
400,498
401,297
402,635
403,113
404,352
405,910
406,4
407,541
408,807
409,258
410,631
411,486
412,224
413,171
414,83
415,488
416,11
417,308
418,968
419,9
420,969
421,737
422,382
423,738
424,183
425,602
426,397
427,254
428,678
429,671
430,898
431,868
432,931
433,963
434,251
435,121
436,218
437,136
438,546
439,480
440,909
441,984
442,199
443,579
444,627
445,390
446,805
447,47
448,12
449,526
450,139
451,370
452,818
453,59
454,533
455,201
456,149
457,907
458,222
459,719
460,336
461,623
462,847
463,286
464,30
465,483
466,76
467,820
468,542
469,1000
470,977
471,132
472,299
473,241
474,816
475,42
476,851
477,437
478,173
479,605
480,490
481,318
482,250
483,317
484,292
485,523
486,806
487,615
488,322
489,349
490,283
491,920
492,95
493,216
494,622
495,242
496,550
497,146
498,697
499,304
500,552
1,824
2,735
3,211
4,381
5,23
6,598
7,563
8,468
9,285
10,159
11,638
12,361
13,919
14,422
15,281
16,462
17,463
18,584
19,788
20,599
21,590
22,840
23,148
24,822
25,739
26,614
27,852
28,119
29,659
30,31
31,535
32,501
33,897
34,48
35,871
36,587
37,676
38,266
39,434
40,337
41,596
42,761
43,592
44,930
45,457
46,972
47,134
48,777
49,642
50,960
51,240
52,989
53,720
54,701
55,647
56,538
57,477
58,946
59,629
60,431
61,889
62,220
63,756
64,707
65,520
66,888
67,650
68,975
69,87
70,725
71,682
72,654
73,324
74,205
75,174
76,280
77,993
78,141
79,509
80,238
81,17
82,723
83,232
84,332
85,340
86,91
87,527
