"proj_id","res_id"
"1","570"
"2","182"
"3","928"
"4","784"
"5","885"
"6","97"
"7","152"
"8","848"
"9","88"
"10","231"
"11","874"
"12","867"
"13","988"
"14","403"
"15","738"
"16","934"
"17","69"
"18","932"
"19","431"
"20","159"
"21","815"
"22","558"
"23","566"
"24","89"
"25","102"
"26","467"
"27","744"
"28","350"
"29","564"
"30","915"
"31","395"
"32","841"
"33","167"
"34","918"
"35","545"
"36","531"
"37","654"
"38","72"
"39","344"
"40","813"
"41","863"
"42","766"
"43","765"
"44","505"
"45","847"
"46","586"
"47","372"
"48","253"
"49","219"
"50","477"
"51","648"
"52","365"
"53","149"
"54","474"
"55","115"
"56","87"
"57","269"
"58","556"
"59","724"
"60","695"
"61","721"
"62","620"
"63","981"
"64","625"
"65","176"
"66","217"
"67","45"
"68","569"
"69","685"
"70","752"
"71","20"
"72","71"
"73","794"
"74","82"
"75","428"
"76","37"
"77","688"
"78","651"
"79","388"
"80","702"
"81","584"
"82","846"
"83","911"
"84","424"
"85","277"
"86","326"
"87","272"
"88","970"
"89","13"
"90","216"
"91","941"
"92","74"
"93","68"
"94","884"
"95","83"
"96","221"
"97","533"
"98","348"
"99","150"
"100","801"
"101","407"
"102","327"
"103","781"
"104","579"
"105","29"
"106","961"
"107","390"
"108","643"
"109","80"
"110","892"
"111","590"
"112","742"
"113","364"
"114","355"
"115","594"
"116","749"
"117","769"
"118","374"
"119","166"
"120","48"
"121","30"
"122","734"
"123","540"
"124","497"
"125","894"
"126","800"
"127","890"
"128","206"
"129","415"
"130","826"
"131","581"
"132","287"
"133","560"
"134","578"
"135","451"
"136","412"
"137","868"
"138","194"
"139","427"
"140","802"
"141","133"
"142","50"
"143","610"
"144","49"
"145","670"
"146","245"
"147","190"
"148","430"
"149","202"
"150","837"
"151","665"
"152","21"
"153","589"
"154","24"
"155","282"
"156","917"
"157","268"
"158","111"
"159","203"
"160","713"
"161","974"
"162","188"
"163","799"
"164","410"
"165","687"
"166","631"
"167","236"
"168","990"
"169","218"
"170","613"
"171","662"
"172","240"
"173","788"
"174","633"
"175","622"
"176","208"
"177","137"
"178","824"
"179","775"
"180","463"
"181","760"
"182","834"
"183","856"
"184","55"
"185","831"
"186","656"
"187","587"
"188","902"
"189","250"
"190","904"
"191","596"
"192","381"
"193","384"
"194","464"
"195","517"
"196","689"
"197","113"
"198","855"
"199","439"
"200","254"
"201","896"
"202","224"
"203","844"
"204","136"
"205","638"
"206","785"
"207","66"
"208","572"
"209","493"
"210","597"
"211","667"
"212","812"
"213","265"
"214","196"
"215","453"
"216","763"
"217","307"
"218","615"
"219","426"
"220","317"
"221","964"
"222","438"
"223","777"
"224","958"
"225","741"
"226","331"
"227","442"
"228","147"
"229","315"
"230","936"
"231","4"
"232","663"
"233","369"
"234","300"
"235","205"
"236","377"
"237","776"
"238","452"
"239","425"
"240","905"
"241","332"
"242","605"
"243","646"
"244","697"
"245","747"
"246","130"
"247","956"
"248","7"
"249","220"
"250","308"
"251","448"
"252","94"
"253","107"
"254","73"
"255","818"
"256","437"
"257","459"
"258","919"
"259","534"
"260","553"
"261","376"
"262","873"
"263","295"
"264","181"
"265","583"
"266","736"
"267","358"
"268","457"
"269","363"
"270","357"
"271","385"
"272","222"
"273","585"
"274","611"
"275","501"
"276","881"
"277","707"
"278","953"
"279","807"
"280","478"
"281","655"
"282","43"
"283","195"
"284","405"
"285","9"
"286","389"
"287","576"
"288","230"
"289","138"
"290","664"
"291","258"
"292","757"
"293","75"
"294","76"
"295","53"
"296","336"
"297","598"
"298","544"
"299","35"
"300","170"
"301","185"
"302","677"
"303","539"
"304","41"
"305","838"
"306","546"
"307","612"
"308","163"
"309","714"
"310","968"
"311","955"
"312","294"
"313","806"
"314","288"
"315","512"
"316","267"
"317","361"
"318","420"
"319","32"
"320","624"
"321","489"
"322","151"
"323","375"
"324","175"
"325","79"
"326","514"
"327","939"
"328","949"
"329","650"
"330","821"
"331","449"
"332","790"
"333","285"
"334","845"
"335","872"
"336","52"
"337","106"
"338","342"
"339","421"
"340","266"
"341","708"
"342","401"
"343","634"
"344","976"
"345","901"
"346","878"
"347","536"
"348","715"
"349","900"
"350","860"
"351","674"
"352","604"
"353","178"
"354","207"
"355","321"
"356","555"
"357","780"
"358","445"
"359","680"
"360","751"
"361","413"
"362","316"
"363","565"
"364","494"
"365","100"
"366","386"
"367","314"
"368","209"
"369","484"
"370","488"
"371","330"
"372","38"
"373","275"
"374","979"
"375","483"
"376","999"
"377","877"
"378","920"
"379","522"
"380","246"
"381","39"
"382","887"
"383","132"
"384","450"
"385","891"
"386","235"
"387","411"
"388","156"
"389","137"
"390","238"
"391","157"
"392","969"
"393","839"
"394","693"
"395","560"
"396","456"
"397","10"
"398","524"
"399","951"
"400","818"
"401","90"
"402","923"
"403","782"
"404","413"
"405","954"
"406","615"
"407","669"
"408","826"
"409","464"
"410","350"
"411","859"
"412","420"
"413","652"
"414","832"
"415","460"
"416","39"
"417","188"
"418","495"
"419","419"
"420","789"
"421","324"
"422","580"
"423","498"
"424","654"
"425","336"
"426","431"
"427","933"
"428","543"
"429","863"
"430","545"
"431","22"
"432","520"
"433","565"
"434","691"
"435","649"
"436","303"
"437","216"
"438","66"
"439","631"
"440","819"
"441","640"
"442","227"
"443","593"
"444","127"
"445","142"
"446","687"
"447","306"
"448","167"
"449","849"
"450","318"
"451","343"
"452","755"
"453","813"
"454","86"
"455","145"
"456","198"
"457","117"
"458","588"
"459","45"
"460","769"
"461","491"
"462","407"
"463","279"
"464","486"
"465","442"
"466","257"
"467","27"
"468","426"
"469","749"
"470","15"
"471","959"
"472","294"
"473","13"
"474","740"
"475","946"
"476","706"
"477","643"
"478","748"
"479","824"
"480","248"
"481","334"
"482","765"
"483","250"
"484","713"
"485","502"
"486","678"
"487","941"
"488","286"
"489","469"
"490","622"
"491","380"
"492","441"
"493","7"
"494","178"
"495","519"
"496","492"
"497","948"
"498","311"
"499","358"
"500","256"
"263","535"
"76","336"
"285","491"
"414","657"
"455","638"
"225","987"
"435","732"
"486","49"
"72","723"
"290","289"
"262","506"
"250","205"
"314","269"
"281","875"
"78","16"
"471","675"
"144","376"
"497","84"
"55","194"
"96","261"
"48","555"
"491","656"
"203","120"
"248","953"
"306","717"
"313","60"
"480","301"
"142","654"
"74","325"
"468","678"
"125","121"
"99","780"
"423","679"
"475","741"
"407","504"
"356","95"
"302","118"
"421","599"
"338","551"
"18","489"
"310","158"
"64","651"
"139","354"
"343","222"
"245","467"
"462","249"
"261","985"
"20","905"
"119","771"
"392","246"
"9","299"
"284","893"
"89","796"
"133","894"
"316","673"
"108","818"
"243","912"
"254","351"
"235","668"
"228","605"
"8","312"
"56","20"
"362","759"
"280","169"
"38","611"
"84","441"
"53","210"
"253","677"
"431","291"
"447","637"
"34","333"
"347","808"
"494","886"
"95","882"
"430","307"
"35","918"
"336","94"
"487","665"
"320","424"
"10","595"
"101","150"
"495","826"
"104","347"
"102","802"
"29","909"
"304","79"
"267","558"
"434","687"
"2","680"
"81","283"
"86","620"
"374","202"
"37","238"
"129","505"
"244","308"
"485","124"
"27","619"
"470","589"
"328","846"
