proj_id,res_id
1,518
2,373
3,538
4,796
5,676
6,996
7,923
8,194
9,161
10,58
11,519
12,207
13,271
14,782
15,553
16,467
17,315
18,852
19,10
20,735
21,125
22,614
23,201
24,998
25,179
26,35
27,227
28,105
29,616
30,210
31,27
32,712
33,509
34,20
35,222
36,841
37,111
38,265
39,912
40,441
41,939
42,89
43,261
44,84
45,345
46,532
47,228
48,190
49,989
50,401
51,798
52,107
53,234
54,108
55,83
56,101
57,109
58,752
59,783
60,304
61,166
62,842
63,327
64,187
65,277
66,257
67,200
68,141
69,300
70,486
71,884
72,746
73,309
74,366
75,646
76,438
77,592
78,268
79,203
80,569
81,262
82,775
83,883
84,420
85,267
86,393
87,929
88,213
89,871
90,71
91,975
92,609
93,792
94,590
95,658
96,274
97,264
98,659
99,330
100,779
101,42
102,314
103,721
104,540
105,703
106,380
107,376
108,138
109,364
110,2
111,397
112,363
113,74
114,930
115,349
116,337
117,472
118,911
119,316
120,670
121,672
122,225
123,631
124,54
125,433
126,454
127,288
128,322
129,470
130,3
131,208
132,367
133,323
134,791
135,174
136,950
137,311
138,757
139,402
140,450
141,908
142,283
143,98
144,643
145,948
146,368
147,357
148,436
149,389
150,460
151,382
152,457
153,303
154,711
155,992
156,686
157,850
158,982
159,583
160,849
161,445
162,785
163,978
164,391
165,361
166,958
167,564
168,890
169,175
170,543
171,491
172,903
173,451
174,64
175,956
176,821
177,95
178,720
179,547
180,636
181,707
182,652
183,341
184,29
185,741
186,897
187,245
188,917
189,369
190,668
191,400
192,406
193,325
194,466
195,256
196,290
197,31
198,147
199,443
200,462
201,479
202,656
203,700
204,619
205,223
206,612
207,804
208,889
209,370
210,326
211,679
212,905
213,691
214,218
215,730
216,254
217,674
218,386
219,684
220,525
221,860
222,654
223,500
224,927
225,577
226,716
227,696
228,414
229,533
230,934
231,97
232,924
233,637
234,902
235,754
236,913
237,922
238,729
239,943
240,715
241,279
242,285
243,710
244,348
245,667
246,17
247,248
248,603
249,131
250,149
251,56
252,589
253,92
254,561
255,993
256,396
257,620
258,705
259,67
260,510
261,718
262,468
263,981
264,62
265,581
266,405
267,839
268,833
269,204
270,140
271,737
272,127
273,633
274,617
275,966
276,307
277,545
278,77
279,198
280,321
281,189
282,747
283,573
284,727
285,270
286,627
287,799
288,681
289,469
290,91
291,9
292,758
293,132
294,862
295,114
296,374
297,238
298,914
299,447
300,638
301,514
302,699
303,137
304,272
305,185
306,275
307,932
308,610
309,28
310,115
311,663
312,116
313,33
314,733
315,901
316,334
317,163
318,496
319,182
320,517
321,722
322,576
323,878
324,165
325,645
326,423
327,546
328,418
329,713
330,428
331,615
332,810
333,965
334,869
335,877
336,360
337,359
338,853
339,760
340,253
341,689
342,503
343,613
344,843
345,317
346,873
347,409
348,794
349,103
350,618
351,338
352,816
353,596
354,94
355,704
356,452
357,237
358,38
359,492
360,528
361,626
362,957
363,907
364,968
365,625
366,339
367,243
368,483
369,738
370,888
371,690
372,365
373,205
374,474
375,497
376,23
377,100
378,550
379,919
380,233
381,461
382,994
383,522
384,899
385,952
386,139
387,490
388,53
389,759
390,171
391,429
392,493
393,446
394,597
395,621
396,305
397,320
398,813
399,7
400,870
401,494
402,430
403,639
404,767
405,200
406,610
407,311
408,108
409,903
410,130
411,974
412,197
413,576
414,325
415,712
416,664
417,808
418,11
419,618
420,69
421,385
422,858
423,85
424,898
425,455
426,469
427,293
428,593
429,531
430,706
431,526
432,468
433,33
434,503
435,274
436,272
437,2
438,595
439,539
440,214
441,291
442,60
443,39
444,208
445,571
446,559
447,484
448,415
449,100
450,35
451,529
452,336
453,312
454,16
455,837
456,961
457,364
458,723
459,222
460,326
461,967
462,781
463,707
464,478
465,984
466,449
467,552
468,928
469,210
470,441
471,522
472,601
473,859
474,776
475,128
476,617
477,615
478,954
479,931
480,42
481,398
482,432
483,255
484,38
485,244
486,488
487,989
488,373
489,413
490,518
491,176
492,464
493,411
494,470
495,847
496,649
497,132
498,790
499,586
500,958
1,374
2,846
3,609
4,980
5,87
6,28
7,264
8,225
9,21
10,653
11,350
12,201
13,308
14,979
15,814
16,920
17,482
18,933
19,626
20,583
21,474
22,644
23,399
24,457
25,234
26,32
27,641
28,110
29,935
30,202
31,73
32,473
33,914
34,363
35,828
36,109
37,58
38,334
39,778
40,621
41,936
42,860
43,620
44,218
45,737
46,95
47,190
48,249
49,582
50,833
51,414
52,661
53,999
54,872
55,382
56,98
57,754
58,7
59,549
60,240
61,719
62,183
63,6
64,779
65,807
66,491
67,142
68,795
69,492
70,796
71,67
72,149
73,699
74,354
75,701
76,204
77,952
78,733
79,267
80,192
81,789
82,870
83,365
84,370
85,619
86,812
87,182
88,638
89,515
90,145
91,942
92,228
93,360
94,752
95,333
96,648
97,77
98,635
99,345
100,412
101,55
102,277
103,534
104,265
105,598
106,355
107,547
108,525
109,802
110,662
111,523
112,392
113,960
114,551
115,670
116,538
117,184
118,945
119,268
120,816
121,380
122,548
123,647
124,96
125,997
126,613
127,416
128,316
129,614
130,239
131,64
132,883
133,151
134,787
135,169
136,845
137,611
138,13
139,512
140,972
141,59
142,663
143,905
144,115
145,864
146,303
147,122
148,102
149,18
150,760
151,251
152,9
153,688
154,892
155,887
156,471
157,793
158,560
159,438
160,297
161,749
162,998
163,361
164,947
165,3
166,895
167,125
168,825
169,852
170,713
171,280
172,806
173,299
174,353
175,305
176,848
177,266
178,439
179,402
180,587
181,25
182,84
183,434
184,687
185,823
186,792
187,386
188,231
189,805
190,302
191,177
192,425
193,564
194,603
195,300
196,926
197,405
198,155
199,126
200,580
201,270
202,215
203,475
204,156
205,429
206,328
207,949
208,252
209,948
210,467
211,607
212,759
213,851
214,324
215,372
216,755
217,495
218,667
219,990
220,881
221,344
222,230
223,83
224,697
225,431
226,516
227,357
228,463
229,844
230,922
231,652
232,668
233,962
234,813
235,257
236,185
237,634
238,259
239,889
240,722
241,1
242,172
243,94
244,174
245,957
246,243
247,866
248,78
249,167
250,448
251,938
252,158
253,430
254,730
255,573
256,339
257,977
258,206
259,763
260,161
261,739
262,81
263,147
264,745
265,797
266,964
267,811
268,521
269,505
270,285
271,527
272,830
273,31
274,381
275,804
276,568
277,404
278,236
279,917
280,310
281,61
282,994
283,36
284,211
285,689
286,579
287,839
288,629
289,720
290,965
291,875
292,841
293,168
294,686
295,226
296,709
297,622
298,246
299,788
300,89
301,921
302,496
303,306
304,803
305,307
306,404
307,162
308,984
309,980
310,137
311,47
312,736
313,551
314,332
315,666
316,585
317,357
318,90
319,762
320,614
321,157
322,918
323,469
324,419
325,799
326,296
327,263
328,382
329,697
330,309
331,649
332,529
333,167
334,506
335,72
336,446
337,235
338,707
339,661
340,590
341,447
342,500
343,106
344,909
345,289
346,581
347,633
348,806
349,241
350,433
351,434
352,555
353,820
354,782
355,191
356,320
357,462
358,300
359,798
360,199
361,821
362,525
363,118
364,459
365,423
366,674
367,373
368,971
369,336
370,938
371,588
372,716
373,196
374,778
375,198
376,641
377,293
378,616
379,700
380,817
381,805
382,957
383,507
384,80
385,58
386,796
387,152
388,176
389,751
390,158
391,605
392,474
393,141
394,452
395,645
396,435
397,28
398,361
399,946
400,961
401,280
402,482
403,521
404,30
405,400
406,656
407,340
408,648
409,493
410,743
411,56
412,228
413,527
414,183
415,283
416,341
417,563
418,385
419,963
420,730
421,652
422,189
423,569
424,68
425,790
426,750
427,911
428,242
429,764
430,16
431,549
432,258
433,376
434,473
435,496
436,815
437,355
438,169
439,950
440,826
441,250
442,565
443,513
444,413
445,139
446,308
447,597
448,859
449,792
450,93
451,442
452,770
453,760
454,57
455,953
456,42
457,784
458,591
459,554
460,848
461,920
462,431
463,644
464,677
465,781
466,92
467,596
468,595
469,556
470,328
471,342
472,202
473,701
474,540
475,714
476,566
477,542
478,791
479,900
480,451
481,682
482,173
483,906
484,450
485,891
486,322
487,711
488,316
489,671
490,177
491,166
492,398
493,822
494,687
495,998
496,626
497,999
498,302
499,66
500,65
