proj_id,res_id,grade,date
1,346,15,3/5/2020
2,19,65,4/7/2020
3,401,71,9/27/2019
4,939,18,2/17/2020
5,519,2,12/16/2020
6,631,48,6/5/2019
7,571,100,5/12/2020
8,198,89,12/1/2019
9,241,70,10/24/2021
10,287,74,9/5/2021
11,253,7,8/12/2019
12,556,79,1/23/2019
13,573,28,11/26/2021
14,678,89,3/3/2020
15,860,13,5/3/2020
16,144,58,10/19/2021
17,185,76,2/19/2022
18,898,32,8/7/2019
19,871,38,3/4/2019
20,952,20,9/4/2019
21,744,27,3/16/2021
22,529,50,5/14/2021
23,625,70,3/10/2021
24,313,73,8/29/2020
25,892,81,2/20/2022
26,494,20,7/8/2019
27,87,82,12/29/2020
28,465,31,11/18/2018
29,913,91,9/10/2019
30,28,6,6/5/2019
31,433,36,2/7/2020
32,438,91,3/27/2019
33,636,28,2/8/2020
34,755,88,11/25/2019
35,336,34,5/3/2020
36,207,21,5/4/2019
37,525,70,8/1/2020
38,15,57,8/22/2019
39,381,66,12/9/2020
40,490,86,12/4/2020
41,67,94,11/30/2021
42,774,64,11/2/2021
43,387,34,3/28/2019
44,97,74,11/8/2020
45,447,34,12/16/2019
46,888,62,12/11/2021
47,60,30,7/6/2021
48,17,23,8/14/2021
49,453,73,1/15/2020
50,272,33,1/3/2022
51,193,94,12/10/2019
52,31,28,9/17/2019
53,11,10,8/2/2019
54,322,89,12/8/2021
55,675,30,3/27/2021
56,260,76,2/26/2022
57,591,26,4/30/2020
58,270,37,3/15/2021
59,279,17,12/3/2021
60,327,100,1/23/2020
61,49,80,4/6/2021
62,825,49,9/16/2019
63,502,2,1/11/2020
64,330,47,1/26/2022
65,306,97,10/11/2018
66,75,5,4/28/2021
67,757,84,6/26/2021
68,292,93,3/9/2020
69,693,58,11/6/2018
70,812,78,3/17/2019
71,361,30,1/15/2019
72,265,29,6/5/2021
73,644,22,1/10/2020
74,133,5,1/14/2022
75,100,5,1/29/2019
76,849,51,6/23/2021
77,827,38,12/29/2019
78,523,19,9/10/2021
79,527,39,11/16/2018
80,577,95,4/7/2020
81,893,43,5/16/2022
82,189,20,9/20/2019
83,340,5,6/5/2021
84,186,50,3/6/2022
85,895,98,6/2/2022
86,886,80,10/20/2019
87,533,10,6/20/2021
88,768,83,2/20/2019
89,454,53,2/24/2021
90,13,55,7/15/2020
91,110,67,3/14/2022
92,195,64,8/31/2020
93,199,66,3/31/2021
94,349,66,9/18/2019
95,225,44,11/15/2021
96,149,90,7/14/2020
97,30,29,5/14/2019
98,670,21,10/30/2019
99,841,89,10/2/2018
100,63,27,8/29/2019
101,94,11,3/3/2022
102,687,29,2/26/2019
103,252,82,7/23/2021
104,766,39,7/17/2019
105,532,54,8/29/2019
106,360,14,5/1/2022
107,881,27,12/12/2018
108,924,95,10/13/2020
109,396,29,7/29/2021
110,331,17,1/7/2019
111,858,91,6/29/2021
112,83,13,4/28/2022
113,988,13,12/2/2021
114,191,5,9/23/2020
115,255,100,9/28/2018
116,141,45,10/29/2019
117,586,73,5/17/2021
118,552,41,1/7/2019
119,478,17,3/10/2022
120,29,82,4/26/2022
121,291,67,2/9/2021
122,113,69,7/12/2021
123,799,98,2/9/2019
124,369,82,4/17/2020
125,907,85,1/31/2020
126,245,22,1/14/2020
127,546,2,6/25/2019
128,458,9,12/25/2021
129,654,22,3/11/2020
130,150,78,11/16/2018
131,900,37,3/28/2022
132,926,31,3/2/2019
133,692,39,5/9/2019
134,426,92,1/29/2020
135,462,38,5/31/2021
136,242,96,3/6/2021
137,921,85,8/28/2021
138,274,73,7/24/2020
139,559,10,5/25/2019
140,995,61,5/8/2020
141,971,54,2/3/2022
142,204,22,12/14/2019
143,856,30,7/19/2020
144,786,61,2/22/2019
145,151,43,11/4/2018
146,918,41,6/16/2021
147,136,15,9/10/2020
148,857,7,6/2/2019
149,979,17,2/4/2019
150,328,16,4/1/2022
151,140,96,9/15/2021
152,711,77,5/18/2022
153,441,14,12/12/2020
154,320,89,5/3/2020
155,724,67,7/30/2021
156,284,100,6/14/2021
157,343,6,3/28/2019
158,379,56,7/1/2019
159,499,30,8/4/2020
160,192,14,8/4/2020
161,632,51,1/8/2022
162,161,24,8/10/2020
163,7,72,11/29/2020
164,257,49,2/15/2022
165,156,94,12/17/2021
166,710,56,10/17/2020
167,261,26,3/26/2020
168,112,75,12/23/2021
169,662,39,1/26/2019
170,172,7,9/20/2021
171,392,79,9/5/2020
172,576,100,4/15/2020
173,418,3,5/21/2022
174,383,45,11/18/2018
175,915,76,5/25/2022
176,870,8,1/2/2019
177,348,76,11/29/2020
178,846,55,7/2/2021
179,309,95,6/3/2020
180,969,54,5/11/2019
181,977,51,9/4/2019
182,954,9,3/26/2020
183,482,24,12/21/2019
184,612,40,3/24/2021
185,973,18,7/5/2021
186,975,58,9/14/2020
187,371,35,3/1/2019
188,958,5,9/30/2019
189,948,76,2/1/2021
190,395,87,4/14/2019
191,477,81,5/8/2022
192,420,20,4/19/2021
193,703,49,2/12/2021
194,326,13,5/10/2022
195,865,100,8/3/2020
196,740,23,11/1/2018
197,304,5,8/19/2020
198,301,9,10/8/2021
199,408,4,5/17/2019
200,243,56,9/5/2019
201,103,92,2/1/2021
202,440,94,12/21/2021
203,839,75,12/16/2020
204,629,3,12/18/2019
205,285,71,1/1/2022
206,650,60,5/8/2020
207,315,95,2/13/2022
208,286,44,11/14/2019
209,476,17,9/3/2021
210,657,74,10/7/2019
211,689,96,5/3/2019
212,452,86,4/5/2022
213,831,73,9/5/2020
214,71,70,8/12/2020
215,775,33,12/19/2018
216,414,60,8/28/2020
217,578,26,9/14/2021
218,587,80,9/7/2021
219,120,67,11/10/2020
220,542,80,7/29/2020
221,538,35,1/21/2022
222,668,13,7/30/2019
223,333,72,2/5/2019
224,765,35,11/9/2019
225,800,47,6/26/2021
226,277,64,11/21/2019
227,222,68,2/24/2019
228,859,99,9/4/2019
229,716,95,4/14/2019
230,826,16,12/12/2020
231,770,37,3/19/2021
232,451,65,3/24/2021
233,647,29,4/17/2022
234,218,71,8/10/2019
235,548,70,12/18/2021
236,317,72,4/4/2020
237,894,81,2/12/2021
238,365,78,5/27/2021
239,709,33,9/17/2019
240,643,82,6/17/2020
241,134,26,3/23/2020
242,442,57,11/27/2021
243,520,22,1/9/2021
244,640,73,10/3/2021
245,540,8,9/10/2019
246,868,29,9/19/2021
247,169,54,7/12/2020
248,746,42,11/22/2021
249,873,92,11/29/2019
250,875,12,9/2/2021
251,514,97,2/24/2022
252,673,45,12/1/2019
253,580,51,12/6/2020
254,863,95,1/14/2022
255,885,46,11/9/2020
256,159,59,3/16/2022
257,472,17,3/26/2021
258,981,26,8/3/2019
259,791,92,9/17/2019
260,370,98,1/8/2020
261,299,73,1/12/2021
262,792,27,10/20/2020
263,566,61,9/2/2021
264,247,5,4/24/2019
265,517,46,6/30/2021
266,344,69,8/4/2019
267,362,72,4/22/2021
268,52,77,6/11/2021
269,23,7,4/6/2022
270,208,2,2/27/2021
271,176,40,1/11/2019
272,9,35,10/7/2021
273,787,3,3/10/2020
274,171,16,4/2/2020
275,949,21,6/8/2021
276,904,46,10/4/2020
277,183,59,7/16/2019
278,332,20,3/29/2019
279,43,41,4/20/2019
280,912,89,11/8/2021
281,36,25,11/13/2018
282,733,98,7/18/2019
283,84,31,8/19/2020
284,466,36,10/2/2019
285,412,80,12/25/2020
286,991,97,11/25/2018
287,565,59,6/15/2021
288,99,59,6/16/2021
289,666,74,4/13/2020
290,251,92,12/30/2021
291,615,9,5/28/2022
292,234,67,10/19/2019
293,782,19,7/15/2021
294,254,70,7/11/2020
295,168,28,5/21/2021
296,504,62,4/5/2021
297,541,58,3/25/2022
298,726,16,8/21/2021
299,950,35,4/28/2021
300,197,92,6/13/2021
301,788,52,12/1/2019
302,256,93,5/18/2020
303,984,30,6/7/2019
304,8,89,10/13/2018
305,997,88,4/26/2019
306,445,51,11/9/2019
307,705,14,2/2/2019
308,119,41,3/14/2022
309,902,52,8/27/2019
310,267,57,2/20/2022
311,547,49,2/16/2020
312,130,69,7/5/2021
313,231,4,8/8/2021
314,953,66,6/6/2020
315,263,86,11/5/2019
316,753,23,10/26/2018
317,910,1,9/21/2019
318,353,89,9/5/2019
319,960,46,1/19/2021
320,497,73,2/21/2020
321,891,20,2/6/2020
322,772,29,3/20/2022
323,967,91,11/22/2021
324,758,91,9/17/2021
325,815,92,12/13/2021
326,321,31,1/17/2020
327,610,96,6/10/2021
328,196,87,7/29/2020
329,480,93,8/12/2019
330,624,32,12/17/2019
331,832,39,4/9/2021
332,836,83,8/14/2019
333,305,76,1/4/2022
334,596,87,6/16/2020
335,124,5,2/14/2022
336,843,41,4/21/2022
337,545,15,10/23/2019
338,295,27,11/20/2021
339,696,91,10/21/2019
340,491,10,9/18/2019
341,281,88,4/4/2020
342,224,75,1/22/2019
343,139,38,9/16/2019
344,806,27,10/21/2019
345,818,47,12/3/2020
346,534,27,4/5/2022
347,215,96,12/5/2020
348,457,56,6/4/2020
349,942,82,3/14/2019
350,671,78,2/28/2022
351,79,45,11/3/2021
352,989,42,7/30/2021
353,239,49,5/28/2021
354,41,13,1/25/2019
355,410,8,10/18/2021
356,730,48,5/8/2019
357,896,34,9/3/2019
358,290,91,6/21/2021
359,558,29,4/17/2020
360,861,60,8/22/2019
361,216,93,8/15/2021
362,633,24,11/4/2020
363,937,59,5/11/2020
364,152,46,7/16/2021
365,271,79,6/19/2020
366,934,2,1/10/2021
367,325,2,2/13/2020
368,425,2,6/9/2019
369,789,53,12/6/2018
370,88,18,1/22/2022
371,676,77,10/23/2019
372,16,5,5/12/2020
373,182,89,5/20/2019
374,506,73,11/22/2018
375,492,76,11/29/2019
376,637,83,11/15/2019
377,145,61,12/21/2020
378,213,59,9/23/2021
379,116,34,2/24/2020
380,449,41,6/17/2019
381,781,24,10/2/2019
382,167,51,6/10/2020
383,447,34,12/9/2018
384,912,63,5/13/2021
385,326,78,6/23/2020
386,854,60,11/23/2018
387,171,8,12/15/2021
388,118,19,10/31/2020
389,611,87,7/6/2021
390,975,70,7/15/2020
391,488,81,6/11/2020
392,584,85,12/14/2021
393,766,57,5/30/2019
394,714,93,4/20/2020
395,711,56,12/3/2018
396,578,43,6/16/2019
397,729,21,9/1/2019
398,327,66,12/7/2019
399,89,62,2/26/2022
400,495,98,2/16/2019
401,567,24,8/12/2019
402,207,95,9/6/2019
403,752,25,12/21/2018
404,120,62,11/5/2020
405,267,10,1/17/2019
406,94,39,11/16/2021
407,953,93,7/20/2019
408,501,86,6/4/2020
409,901,86,9/15/2019
410,686,62,11/4/2018
411,278,79,12/24/2021
412,364,99,12/19/2018
413,360,24,8/26/2019
414,173,80,6/21/2019
415,457,66,7/22/2019
416,117,42,5/4/2021
417,249,81,3/3/2022
418,512,16,1/13/2021
419,109,42,5/17/2022
420,582,29,1/15/2020
421,808,87,1/30/2019
422,773,77,10/4/2020
423,746,58,6/19/2021
424,566,56,8/4/2021
425,755,52,11/15/2020
