"proj_id","res_id"
1,374
1,518
1,570
1,860
1,963
2,182
2,373
2,488
2,680
2,846
3,376
3,538
3,609
3,714
3,928
4,121
4,784
4,796
4,980
5,87
5,591
5,676
5,885
6,28
6,97
6,112
6,996
7,152
7,264
7,365
7,923
8,194
8,225
8,266
8,312
8,432
8,732
8,848
9,21
9,88
9,161
9,299
9,644
10,58
10,71
10,231
10,595
10,653
11,350
11,519
11,526
11,874
12,57
12,201
12,207
12,454
12,867
13,237
13,271
13,308
13,439
13,678
13,988
14,403
14,782
14,979
15,19
15,81
15,256
15,553
15,738
15,814
16,383
16,467
16,920
16,934
17,69
17,315
17,482
17,555
18,386
18,489
18,599
18,852
18,932
18,933
19,10
19,64
19,431
19,626
19,875
20,85
20,159
20,583
20,735
20,905
21,125
21,210
21,263
21,314
21,474
21,815
22,558
22,614
22,644
22,806
22,849
23,201
23,399
23,566
23,692
24,89
24,91
24,622
24,969
25,102
25,172
25,179
25,234
25,867
25,966
26,32
26,35
26,467
27,227
27,517
27,560
27,619
27,641
27,744
28,105
28,110
28,350
28,652
29,564
29,616
29,909
29,935
30,202
30,210
30,915
31,27
31,73
31,395
31,408
31,958
32,473
32,712
32,841
33,167
33,186
33,316
33,449
33,509
33,914
34,20
34,333
34,363
34,707
34,796
34,918
35,222
35,254
35,299
35,545
35,828
35,918
36,109
36,132
36,531
36,636
36,841
37,58
37,60
37,111
37,236
37,238
37,654
38,72
38,265
38,334
38,611
39,15
39,344
39,778
39,912
40,441
40,621
40,758
40,813
40,878
41,171
41,675
41,863
41,936
41,939
42,167
42,766
43,261
43,620
43,765
44,84
44,218
44,505
44,817
45,345
45,737
45,835
45,847
46,95
46,380
46,532
46,586
46,777
46,910
47,190
47,228
47,372
47,865
48,190
48,210
48,249
48,253
48,555
49,86
49,219
49,582
49,989
50,401
50,477
50,558
50,733
50,833
50,959
51,189
51,414
51,648
51,798
52,56
52,107
52,365
52,661
52,695
53,149
53,209
53,210
53,234
53,571
53,984
53,999
54,108
54,474
54,872
55,83
55,115
55,194
55,382
55,752
56,20
56,87
56,711
56,985
57,109
57,269
57,389
57,754
57,997
58,7
58,63
58,502
58,556
58,752
59,549
59,592
59,724
59,783
60,240
60,304
60,346
60,695
60,883
