Organization,Private funds
55,952060.1
43,163843.5
20,102429.01
53,293305.25
19,427882.27
47,194448.53
19,810905.56
32,788993.81
45,884608.0
18,652648.42
1,159370.19
18,761854.71
19,783930.92
4,730823.67
3,237397.95
2,276192.75
9,401736.73
33,959560.76
33,271990.71
60,744954.24
7,329236.62
42,307870.23
36,954620.53
39,882521.69
52,676341.83
24,746274.44
58,206517.76
24,287561.77
40,610243.59
21,995272.74
23,601656.63
28,101335.75
58,354244.94
33,329134.62
8,574818.5
16,851660.13
16,504235.78
7,903079.33
6,854279.98
29,935243.81
43,551653.61
39,712782.98
37,366445.04
35,501044.42
44,688688.73
22,585479.07
26,799454.29
2,175185.13
29,337238.21
41,516570.25
35,355739.51
32,118366.93
60,987564.21
11,572783.08
1,103101.87
58,336876.59
54,249852.71
45,718892.48
27,704441.99
44,238597.7
